year,state,region,division,population,enslaved_population,urban_population,labor_force,labor_force_agricultural,labor_force_enslaved,gdp_per_capita,gdp,agriculture,agriculture_crops_and_livestock,agriculture_crops_and_livestock_livestock_and_feed_crops,agriculture_crops_and_livestock_food_grains,agriculture_crops_and_livestock_cotton,agriculture_crops_and_livestock_other,agriculture_farm_improvments,construction,mining,manufacturing,manufacturing_factory,manufacturing_home,services,services_trade,services_transportation_and_public_utilities,services_finance,services_professional,services_personal,services_government,services_education,services_hand_trades,services_shelter,easterlin_1957,easterlin_1960,klein,wealth
1839,Maryland,3,5,"470,019","89,737","113,912","166,600","83,161","54,200",95.153,44.723735,18.002027,18.002027,8.463603,3.226346,0.000547,6.311531,0.000000,4.352580,0.260150,7.093176,6.262162,0.831015,15.015801,4.457372,2.042748,1.220351,0.971256,0.994933,0.455818,0.131058,1.037584,3.704682,NA,30,NA,NA
1839,Massachusetts,1,1,"737,699",0,"279,454","263,200","79,640",NA,209.161,154.297588,15.031096,14.405022,9.056618,0.464077,0.000000,4.884328,0.626074,14.084305,0.520301,42.382655,41.287812,1.094843,82.279231,17.304009,39.564271,3.821470,3.503296,1.749924,2.378952,0.684001,2.182262,11.091046,NA,79,NA,NA
1839,Michigan,2,3,"212,267",0,"9,102","63,900","54,603",NA,81.573,17.315243,8.168082,4.379458,2.481128,0.968352,0.000000,0.929978,3.788625,1.492509,0.007031,1.938931,1.401026,0.537905,5.708689,1.261356,0.220488,0.000000,0.672142,0.147988,0.428447,0.000000,0.401757,2.576511,NA,9,NA,NA
1839,Minnesota,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1839,Mississippi,3,6,"375,651","195,211","3,612","176,100","145,313","118,300",149.440,56.137271,41.283887,34.235003,11.629551,0.176343,16.310485,6.118624,7.048884,0.942320,0.000000,4.815802,1.592075,3.223727,9.095262,2.437202,0.166619,0.000000,1.208811,2.126530,0.245901,0.169685,0.120304,2.620209,NA,31,NA,NA
1839,Missouri,2,4,"383,702","58,240","16,469","121,300","94,633","33,200",102.530,39.340921,16.418610,11.526683,7.950631,0.469215,0.007661,3.099177,4.891927,2.208981,0.070311,7.793115,2.366885,5.426230,12.849903,3.724174,1.902899,0.229244,0.930878,0.869380,0.998966,0.287224,0.480004,3.427135,NA,20,NA,NA
1839,Montana,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1839,Nebraska,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1839,Nevada,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1839,New Hampshire,1,1,"284,574",1,"28,531","92,000","59,572",0,111.630,31.766967,10.084011,9.986570,6.755255,0.651539,0.000000,2.579776,0.097441,3.750720,0.024609,8.240598,5.699629,2.540969,9.667029,2.416450,0.762874,0.433618,1.233229,0.388491,0.404905,0.038806,0.495237,3.493419,NA,18,NA,NA
1839,New Jersey,1,2,"373,306",674,"39,548","111,700","57,994",600,125.137,46.714314,15.063278,14.682947,8.123448,1.593440,0.000000,4.966059,0.380330,4.575126,0.256635,11.448818,10.497081,0.951737,15.370457,3.955598,3.212167,0.637303,1.209707,0.295214,0.297552,0.228140,1.010927,4.523850,NA,31,NA,NA
1839,New Mexico,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1839,New York,1,2,"2,428,921",4,"471,266","759,100","453,862",NA,141.530,343.765944,100.253546,92.662914,56.338638,12.631469,0.000000,23.692807,7.590632,29.862163,1.835115,71.081161,49.195118,21.886043,140.733960,50.445570,18.607264,10.509501,10.730257,4.780310,6.164957,1.085241,8.258448,30.152413,NA,194,NA,NA
1839,North Carolina,3,5,"753,419","245,817","13,310","291,300","231,517","141,100",69.749,52.550523,33.323991,33.211090,19.783858,1.801551,3.830764,7.794916,0.112901,0.784975,0.112497,9.271361,2.600389,6.670972,9.057698,1.843599,0.502745,0.000000,0.495488,1.459454,0.292424,0.182170,0.317922,3.963895,NA,38,NA,NA
1839,North Dakota,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1839,Ohio,2,3,"1,519,467",3,"83,491","408,800","293,109",NA,83.067,126.217408,42.570460,33.925583,19.674367,7.505240,0.000000,6.745976,8.644877,12.428202,0.632798,22.941894,14.190695,8.751199,47.644053,14.130359,3.636079,3.822058,3.732080,0.970216,0.892244,0.940645,3.172849,16.347522,NA,73,NA,NA
1839,Oklahoma,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1839,Oregon,4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1839,Pennsylvania,1,2,"1,724,033",64,"307,977","495,500","238,177",NA,110.769,190.969301,61.453316,58.840153,34.259661,14.772618,0.000000,9.807874,2.613163,19.324623,3.308129,38.841639,32.690607,6.151032,68.041595,24.159185,6.082946,3.572178,4.532767,2.112275,2.001386,0.959070,5.598400,19.023388,NA,130,NA,NA
1839,Rhode Island,1,1,"108,830",5,"47,662","39,500","12,206",NA,189.277,20.598971,2.177408,2.177408,1.317488,0.021096,0.000000,0.838824,0.000000,2.096455,0.049218,8.626515,8.384928,0.241587,7.649375,2.521373,2.436647,0.000000,0.366817,0.262006,0.455127,0.065429,0.115971,1.426005,NA,13,NA,NA
1839,South Carolina,3,5,"594,398","327,038","33,601","284,600","215,189","197,800",72.862,43.309055,25.476787,25.474345,12.946903,0.863953,4.879053,6.784437,0.002442,0.806809,0.042187,6.760112,2.366885,4.393227,10.223160,2.544370,0.634484,0.569972,0.825865,2.445284,0.390303,0.030606,0.050631,2.731646,NA,33,NA,NA
1839,South Dakota,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1839,Tennessee,3,6,"829,210","183,059","6,929","267,600","222,732","103,700",85.023,70.502053,40.156398,37.556502,24.230812,3.088575,1.752136,8.484979,2.599896,2.058498,0.316399,16.438665,2.812666,13.625999,11.532092,2.531729,0.273052,0.000000,1.000676,1.207591,0.520203,0.282520,0.400606,5.315714,NA,39,NA,NA
1839,Texas,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1839,Utah,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1839,Vermont,1,1,"291,948",0,0,"85,200","70,019",NA,109.072,31.843265,13.762360,13.419221,9.583654,0.745724,0.000000,3.089844,0.343138,1.918164,0.126560,6.400082,3.215992,3.184091,9.636099,2.488512,0.239201,0.446863,1.280975,0.000000,0.417274,0.119975,0.737194,3.906106,NA,19,NA,NA
1839,Virginia,3,5,"1,239,797","449,087","70,394","494,000","338,589","267,800",89.547,111.019985,57.907411,57.907411,30.478232,9.487183,0.336873,17.605122,0.000000,4.634130,0.643345,19.984729,8.459225,11.525503,27.850370,8.140711,3.029209,0.475817,2.123171,3.419169,1.851294,0.383247,0.935914,7.491837,NA,68,NA,NA
1839,Washington,4,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1839,West Virginia,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1839,Wisconsin,2,3,"30,945",11,0,"12,300","7,052",NA,224.194,6.937670,1.235117,0.634448,0.400901,0.002119,0.000000,0.231428,0.600669,0.577373,0.130075,0.377735,0.318415,0.059320,4.617369,0.943103,0.294072,0.400052,0.218831,0.573469,1.120687,0.107407,0.533052,0.426696,NA,2,NA,NA
1839,Wyoming,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849,Alabama,3,6,"771,623","342,844","35,179","342,600","265,626","209,000",97.326,75.098829,48.710213,46.501346,18.547863,0.234312,19.382177,8.336994,2.208867,1.239577,0.128734,12.420260,2.219815,10.200445,12.600046,3.077536,0.447047,0.000000,1.682295,2.189417,0.000000,0.222828,0.270343,4.710580,NA,NA,NA,NA
1849,Arizona,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849,Arkansas,3,7,"209,897","47,100",0,"76,400","64,108","28,600",106.240,22.299500,13.229639,11.832756,7.761155,0.157766,2.076159,1.837676,1.396884,0.784797,0.007336,3.676283,0.310361,3.365922,4.601445,1.167815,0.047898,0.000000,0.559384,0.321005,0.344346,0.238744,0.096551,1.825703,NA,NA,NA,NA
1849,California,4,9,"92,597",0,"6,820","78,000","4,033",NA,"1,293.385",119.763558,1.093498,0.256648,-0.013229,0.013442,0.000000,0.256435,0.836851,2.817221,31.466918,11.272604,11.235686,0.036918,73.113318,42.132928,8.302310,3.109971,3.729226,5.975801,2.869549,0.265271,0.000000,6.728261,NA,NA,NA,NA
1849,Colorado,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849,Connecticut,1,1,"370,792",0,"59,321","129,500","49,854",NA,156.157,57.901948,8.764240,8.764240,5.668934,0.387292,0.000000,2.708014,0.000000,5.048459,1.766122,23.661500,22.647573,1.013927,18.661627,5.924256,3.567439,0.000000,2.030356,0.319434,0.112486,0.259966,1.166979,5.280711,NA,NA,NA,NA
1849,Dakota Territory,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849,Delaware,3,5,"91,532","2,290","13,979","27,400","15,253","1,400",90.223,8.258334,2.648724,2.648724,1.745292,0.414715,0.000000,0.488718,0.000000,0.690622,0.038774,1.920590,1.719541,0.201048,2.959625,0.857314,0.398511,0.242578,0.000000,0.101090,0.179060,0.041382,0.125516,1.014175,NA,NA,NA,NA
1849,District of Columbia,3,5,"51,687","3,687","48,367","16,400",881,"2,500",159.164,8.226725,0.297015,0.297015,0.036053,0.015552,0.000000,0.245410,0.000000,1.893172,0.083312,1.248446,1.237502,0.010943,4.704780,1.525945,0.375520,0.304777,0.162428,0.249621,1.124863,0.051993,0.220780,0.688853,NA,NA,NA,NA
1849,Florida,3,5,"87,445","39,310",0,"39,000","29,831","24,200",121.995,10.667891,5.779831,5.439233,2.822547,0.001223,1.433934,1.181529,0.340597,0.248720,0.000000,0.829996,0.431380,0.398615,3.809344,0.660388,0.920918,0.320327,0.085358,0.373024,0.472902,0.163938,0.033149,0.779341,NA,NA,NA,NA
1849,Georgia,3,5,"906,185","381,682","38,994","390,300","301,061","232,500",94.728,85.841069,53.534809,51.252466,23.161671,0.863465,17.128065,10.099266,2.282343,1.332948,0.179409,13.241547,3.542929,9.698618,17.552356,4.814145,0.413838,0.223918,2.148034,2.661641,0.165286,0.496588,0.741511,5.887394,NA,NA,NA,NA
1849,Idaho,4,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849,Illinois,2,3,"851,470",0,"64,427","236,100","173,858",NA,100.129,85.256957,35.662498,32.724388,22.925286,4.910356,0.000000,4.888746,2.938109,8.552277,0.522892,13.394596,7.298431,6.096165,27.124694,8.330413,1.628530,0.264348,2.888078,0.831180,0.682953,0.586250,1.395161,10.517783,NA,NA,NA,NA
1849,Indiana,2,3,"988,416",0,"44,632","270,000","200,933",NA,83.575,82.606858,29.876448,27.828473,20.320391,3.426486,0.000519,4.081077,2.047975,7.973539,0.226602,16.652722,8.050710,8.602012,27.877547,6.644180,1.992554,0.970311,3.749115,0.932225,0.537180,0.869029,0.979027,11.203928,NA,NA,NA,NA
1849,Iowa,2,4,"192,214",0,"9,730","53,600","39,099",NA,82.631,15.882883,5.735704,4.567544,3.298037,0.702265,0.000000,0.567242,1.168161,1.737018,0.322000,2.318366,1.151284,1.167082,5.769795,1.748517,0.106014,0.258128,0.825402,0.000000,0.095269,0.044035,0.373974,2.318457,NA,NA,NA,NA
1849,Kansas,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1849,Kentucky,3,6,"982,405","210,981","73,804","347,400","260,191","126,800",90.762,89.164987,38.961980,37.279237,25.293572,1.282983,0.026010,10.676672,1.682744,4.387620,0.796144,22.166013,9.196704,12.969309,22.853229,5.877544,1.321983,0.643764,2.859073,1.684186,0.950395,0.658934,0.910476,7.946875,NA,NA,NA,NA
1849,Louisiana,3,7,"517,762","244,809","134,470","256,100","159,959","162,900",134.684,69.734380,27.628980,25.308968,8.748457,0.000492,6.133990,10.426028,2.320012,6.278377,0.018164,4.896519,4.162217,0.734302,30.912340,13.621759,4.051527,1.617185,1.465171,3.891318,0.716239,0.551764,0.502065,4.495311,NA,NA,NA,NA
1849,Maine,1,1,"583,169",0,"78,925","182,000","90,218",NA,105.857,61.732647,10.093669,10.093669,6.810128,0.340537,0.000000,2.943003,0.000000,7.083298,1.001427,13.411127,10.702434,2.708694,30.143126,7.693839,9.132541,0.621994,1.243075,0.325953,0.918256,0.477488,1.255162,8.474818,NA,NA,NA,NA
1849,Maryland,3,5,"583,034","90,368","188,045","210,500","96,597","56,200",108.328,63.158706,15.499884,15.133721,7.494429,3.921474,0.000000,3.717818,0.366164,5.609489,2.041964,15.382389,14.792615,0.589775,24.624980,9.163912,4.582875,1.072940,1.486718,1.105107,0.475197,0.219645,1.487850,5.030736,NA,NA,NA,NA
